id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,receita_total,mes,trimestre,ano,faixa_receita_item
122,2024-01-27,Cliente_012,Smartphone,Celulares,Norte,5,2200.0,11000.0,1,Q1,2024,Alto Valor
123,2024-08-19,Cliente_017,Teclado,Periféricos,Nordeste,2,250.0,500.0,8,Q3,2024,Médio Valor
124,2024-02-01,Cliente_015,Monitor,Computadores,Sudeste,1,1200.0,1200.0,2,Q1,2024,Médio Valor
125,2024-11-07,Cliente_013,Notebook,Computadores,Norte,6,3500.0,21000.0,11,Q4,2024,Alto Valor
126,2024-08-20,Cliente_029,Teclado,Periféricos,Norte,5,250.0,1250.0,8,Q3,2024,Médio Valor
127,2024-08-08,Cliente_004,Mouse,Periféricos,Nordeste,4,120.0,480.0,8,Q3,2024,Baixo Valor
128,2024-12-06,Cliente_003,Monitor,Computadores,Sudeste,6,1200.0,7200.0,12,Q4,2024,Alto Valor
129,2024-07-09,Cliente_004,Monitor,Computadores,Centro-Oeste,2,1200.0,2400.0,7,Q3,2024,Médio Valor
130,2024-01-27,Cliente_022,Tablet,Celulares,Centro-Oeste,7,1800.0,12600.0,1,Q1,2024,Alto Valor
131,2024-06-28,Cliente_028,Smartphone,Celulares,Norte,2,2200.0,4400.0,6,Q2,2024,Médio Valor
133,2024-06-22,Cliente_024,Mouse,Periféricos,Sudeste,5,120.0,600.0,6,Q2,2024,Médio Valor
135,2024-03-20,Cliente_016,Notebook,Computadores,Norte,1,3500.0,3500.0,3,Q1,2024,Médio Valor
136,2024-05-19,Cliente_019,Monitor,Computadores,Centro-Oeste,7,1200.0,8400.0,5,Q2,2024,Alto Valor
137,2024-01-24,Cliente_025,Teclado,Periféricos,Sul,5,250.0,1250.0,1,Q1,2024,Médio Valor
138,2024-06-16,Cliente_008,Tablet,Celulares,Norte,5,1800.0,9000.0,6,Q2,2024,Alto Valor
139,2024-02-06,Cliente_011,Teclado,Periféricos,Norte,6,250.0,1500.0,2,Q1,2024,Médio Valor
141,2024-02-15,Cliente_028,Mouse,Periféricos,Nordeste,6,120.0,720.0,2,Q1,2024,Médio Valor
142,2024-04-23,Cliente_029,Mouse,Periféricos,Nordeste,6,120.0,720.0,4,Q2,2024,Médio Valor
143,2024-04-30,Cliente_003,Tablet,Celulares,Sul,3,1800.0,5400.0,4,Q2,2024,Alto Valor
144,2024-08-25,Cliente_021,Mouse,Periféricos,Norte,8,120.0,960.0,8,Q3,2024,Médio Valor
145,2024-03-18,Cliente_012,Tablet,Celulares,Norte,6,1800.0,10800.0,3,Q1,2024,Alto Valor
146,2024-08-24,Cliente_028,Notebook,Computadores,Sudeste,5,3500.0,17500.0,8,Q3,2024,Alto Valor
147,2024-09-16,Cliente_030,Teclado,Periféricos,Norte,10,250.0,2500.0,9,Q3,2024,Médio Valor
148,2024-06-13,Cliente_027,Mouse,Periféricos,Nordeste,4,120.0,480.0,6,Q2,2024,Baixo Valor
150,2024-05-24,Cliente_011,Tablet,Celulares,Sudeste,6,1800.0,10800.0,5,Q2,2024,Alto Valor
