id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
86,2024-06-14,Cliente_019,Notebook,Computadores,Sudeste,7.0,
87,2024-10-22,Cliente_006,Mouse,Periféricos,Norte,,120.0
88,2024-02-16,Cliente_014,Monitor,Computadores,Centro-Oeste,8.0,1200.0
89,2024-10-08,Cliente_028,Tablet,Celulares,Norte,,1800.0
90,2024-08-24,Cliente_025,Notebook,Computadores,Sudeste,9.0,3500.0
91,2024-10-08,Cliente_021,Smartphone,Celulares,Norte,5.0,2200.0
92,2024-06-08,Cliente_015,Smartphone,Celulares,Sudeste,3.0,2200.0
93,2024-09-12,Cliente_016,Mouse,Periféricos,Sul,3.0,120.0
94,2024-03-15,Cliente_009,Monitor,Computadores,Centro-Oeste,9.0,1200.0
95,2024-05-16,Cliente_016,Tablet,Celulares,Sul,9.0,1800.0
96,2024-09-04,Cliente_007,Monitor,Computadores,Sul,9.0,1200.0
97,2024-04-29,Cliente_013,Teclado,Periféricos,Centro-Oeste,7.0,250.0
98,2024-09-10,Cliente_028,Mouse,Periféricos,Centro-Oeste,3.0,120.0
99,2024-08-21,Cliente_026,Notebook,Computadores,Nordeste,,3500.0
100,2024-12-20,Cliente_011,Tablet,Celulares,Centro-Oeste,10.0,1800.0
101,2024-11-12,Cliente_014,Teclado,Periféricos,Sudeste,1.0,250.0
102,2024-08-15,Cliente_012, Mouse,Periféricos,Nordeste,2.0,120.0
103,2024-05-05,Cliente_028,Monitor,Computadores,Centro-Oeste,3.0,1200.0
104,2024-09-11,Cliente_001,Teclado,Periféricos,Centro-Oeste,4.0,250.0
105,2024-03-21,Cliente_023,Tablet,Celulares,Nordeste,9.0,1800.0
106,2024-04-11,Cliente_010,Monitor,Computadores,Nordeste,5.0,1200.0
107,2024-05-20,Cliente_024,Notebook,Computadores,Centro-Oeste,,3500.0
108,2024-11-06,Cliente_025,Tablet,Celulares,Sul,4.0,1800.0
109,2024-11-17,Cliente_003,Mouse,Periféricos,Nordeste,2.0,120.0
110,2024-03-30,Cliente_009,Tablet,Celulares,Sul,7.0,1800.0
111,2024-05-31,Cliente_008,Tablet,Celulares,Centro-Oeste,8.0,1800.0
112,2024-02-16,Cliente_022,Teclado,Periféricos,Nordeste,6.0,
113,2024-11-22,Cliente_020,Teclado,Periféricos,Sul,85.0,250.0
114,2024-11-21,Cliente_002,Mouse,Periféricos,Nordeste,2.0,120.0
115,2024-02-19,Cliente_023,Monitor,Computadores,Norte,2.0,1200.0
116,2024-03-20,Cliente_009,Monitor,Computadores,Sudeste,10.0,1200.0
117,2024-04-21,Cliente_018,Mouse,Periféricos,Nordeste,6.0,120.0
118,2024-05-21,Cliente_021,Notebook,Computadores,Norte,7.0,3500.0
119,2024-06-19,Cliente_007,Notebook,Computadores,Norte,1.0,3500.0
120,2024-06-17,Cliente_005,Smartphone,Celulares,Norte,4.0,2200.0
121,2024-02-26,Cliente_011, Tablet,Celulares,Sudeste,3.0,
122,2024-01-27,Cliente_012,Smartphone,Celulares,Norte,5.0,2200.0
123,2024-08-19,Cliente_017,Teclado,Periféricos,Nordeste,2.0,250.0
124,2024-02-01,Cliente_015,Monitor,Computadores,Sudeste,1.0,1200.0
125,2024-11-07,Cliente_013,Notebook,Computadores,Norte,6.0,3500.0
126,2024-08-20,Cliente_029,Teclado,Periféricos,Norte,5.0,250.0
127,2024-08-08,Cliente_004,Mouse,Periféricos,Nordeste,4.0,120.0
128,2024-12-06,Cliente_003,Monitor,Computadores,Sudeste,6.0,1200.0
129,2024-07-09,Cliente_004,Monitor,Computadores,Centro-Oeste,2.0,1200.0
130,2024-01-27,Cliente_022,Tablet,Celulares,Centro-Oeste,7.0,1800.0
131,2024-06-28,Cliente_028,Smartphone,Celulares,Norte,2.0,2200.0
132,2024-12-11,Cliente_006,Teclado,Periféricos,Nordeste,10.0,
133,2024-06-22,Cliente_024,Mouse,Periféricos,Sudeste,5.0,120.0
134,2024-04-20,Cliente_019,Notebook,Computadores,Norte,9.0,3500.0
135,2024-03-20,Cliente_016,Notebook,Computadores,Norte,1.0,3500.0
136,2024-05-19,Cliente_019,Monitor,Computadores,Centro-Oeste,7.0,1200.0
137,2024-01-24,Cliente_025,Teclado,Periféricos,Sul,5.0,250.0
138,2024-06-16,Cliente_008,Tablet,Celulares,Norte,5.0,1800.0
139,2024-02-06,Cliente_011,Teclado,Periféricos,Norte,6.0,250.0
140,2024-07-26,Cliente_020,Monitor,Computadores,Centro-Oeste,70.0,1200.0
141,2024-02-15,Cliente_028,Mouse,Periféricos,Nordeste,6.0,120.0
142,2024-04-23,Cliente_029,Mouse,Periféricos,Nordeste,6.0,120.0
143,2024-04-30,Cliente_003,Tablet,Celulares,Sul,3.0,1800.0
144,2024-08-25,Cliente_021,Mouse,Periféricos,Norte,8.0,120.0
145,2024-03-18,Cliente_012,Tablet,Celulares,Norte,6.0,1800.0
146,2024-08-24,Cliente_028,Notebook,Computadores,Sudeste,5.0,3500.0
147,2024-09-16,Cliente_030,Teclado,Periféricos,Norte,10.0,250.0
148,2024-06-13,Cliente_027,Mouse,Periféricos,Nordeste,4.0,120.0
149,2024-09-15,Cliente_020,Mouse,Periféricos,Sul,2.0,
150,2024-05-24,Cliente_011,Tablet,Celulares,Sudeste,6.0,1800.0
