id_venda,data_venda,cliente,produto,categoria,tamanho,cor,regiao,canal_venda,forma_pagamento,parcelas,quantidade,preco_unitario,custo_unitario,percentual_desconto,valor_frete,receita_total,mes,trimestre,ano,faixa_receita_item
24,2024-12-15,Cliente_0007,Chinelo Slim Conforto,Calçados,44,Branco,Sul,E-commerce,Cartão de Crédito,3,1,39.9,17.95,0.0,90.51,39.9,12,Q4,2024,Baixo Valor
25,2024-12-08,Cliente_0204,Sandália Salto Bloco,Calçados,36,Vermelho,Sul,App,Pix,1,2,149.9,67.45,0.0,44.42,299.8,12,Q4,2024,Baixo Valor
26,2024-12-03,Cliente_0247,Saia Plissada,Moda Feminina,GG,Nude,Nordeste,App,Cartão de Crédito,2,1,119.9,53.96,0.0,34.29,119.9,12,Q4,2024,Baixo Valor
27,2024-11-01,Cliente_0237,Calça Jeans Casual,Moda Masculina,GG,Nude,Norte,App,Cartão de Crédito,12,1,189.9,85.45,0.0,20.14,189.9,11,Q4,2024,Baixo Valor
28,2024-08-08,Cliente_0076,Calça Alfaiataria,Moda Feminina,G,Nude,Norte,App,Pix,1,2,159.9,71.95,0.0,52.19,319.8,8,Q3,2024,Baixo Valor
29,2024-08-03,Cliente_0202,Vestido Estampado Midi,Moda Feminina,GG,Nude,Norte,App,Pix,1,1,199.9,89.95,0.0,36.81,199.9,8,Q3,2024,Baixo Valor
30,2024-06-13,Cliente_0159,Boné Ajustável Aba Curva,Acessórios,M,Preto,Nordeste,Loja Física,Boleto,1,3,59.9,26.95,0.0,0.0,179.7,6,Q2,2024,Baixo Valor
31,2024-12-10,Cliente_0050,Camiseta Básica Algodão,Moda Masculina,P,Vermelho,Centro-Oeste,Loja Física,Boleto,1,1,49.9,22.45,0.0,0.0,49.9,12,Q4,2024,Baixo Valor
32,2024-05-04,Cliente_0119,Sunga de Praia,Moda Íntima e Praia,GG,Branco,Sudeste,Loja Física,Boleto,1,2,69.9,31.46,0.0,0.0,139.8,5,Q2,2024,Baixo Valor
33,2024-03-03,Cliente_0141,Cinto de Couro,Acessórios,GG,Nude,Centro-Oeste,App,Boleto,1,1,69.9,31.46,0.0,86.45,69.9,3,Q1,2024,Baixo Valor
34,2024-08-31,Cliente_0086,Blusa Crepe Feminina,Moda Feminina,GG,Branco,Nordeste,App,Cartão de Crédito,12,3,79.9,35.96,0.0,38.76,239.70000000000002,8,Q3,2024,Baixo Valor
35,2024-03-11,Cliente_0198,Cinto de Couro,Acessórios,G,Nude,Norte,App,Cartão de Crédito,4,1,69.9,31.46,0.0,51.16,69.9,3,Q1,2024,Baixo Valor
36,2024-07-13,Cliente_0230,Camisa Polo Masculina,Moda Masculina,GG,Nude,Sul,Loja Física,Boleto,1,3,129.9,58.46,0.0,0.0,389.70000000000005,7,Q3,2024,Baixo Valor
39,2024-02-11,Cliente_0062,Conjunto Lingerie Renda,Moda Íntima e Praia,P,Preto,Sul,E-commerce,Cartão de Crédito,4,2,119.9,53.96,0.0,69.71,239.8,2,Q1,2024,Baixo Valor
40,2024-02-28,Cliente_0148,Sunga de Praia,Moda Íntima e Praia,P,Branco,Centro-Oeste,E-commerce,Cartão de Crédito,10,3,69.9,31.46,0.0,94.31,209.70000000000002,2,Q1,2024,Baixo Valor
41,2024-04-11,Cliente_0110,Kit Cuecas Boxer 3un,Moda Íntima e Praia,P,Nude,Nordeste,Loja Física,Pix,1,3,79.9,35.96,0.0,0.0,239.70000000000002,4,Q2,2024,Baixo Valor
42,2024-11-27,Cliente_0248,Camiseta Básica Algodão,Moda Masculina,GG,Branco,Nordeste,Loja Física,Boleto,1,3,49.9,22.45,0.0,0.0,149.7,11,Q4,2024,Baixo Valor
43,2024-09-04,Cliente_0157,Boné Ajustável Aba Curva,Acessórios,P,Azul,Centro-Oeste,Loja Física,Cartão de Crédito,8,3,59.9,26.95,0.0,0.0,179.7,9,Q3,2024,Baixo Valor
44,2024-09-10,Cliente_0185,Sandália Salto Bloco,Calçados,44,Azul,Centro-Oeste,E-commerce,Boleto,1,1,149.9,67.45,0.0,26.85,149.9,9,Q3,2024,Baixo Valor
45,2024-05-03,Cliente_0149,Sunga de Praia,Moda Íntima e Praia,M,Vermelho,Nordeste,Loja Física,Pix,1,3,69.9,31.46,0.0,0.0,209.70000000000002,5,Q2,2024,Baixo Valor
46,2024-09-28,Cliente_0191,Sunga de Praia,Moda Íntima e Praia,G,Azul,Norte,E-commerce,Boleto,1,3,69.9,31.46,0.0,45.24,209.70000000000002,9,Q3,2024,Baixo Valor
47,2024-04-20,Cliente_0182,Blusa Crepe Feminina,Moda Feminina,P,Branco,Norte,E-commerce,Pix,1,1,79.9,35.96,0.0,44.18,79.9,4,Q2,2024,Baixo Valor
48,2024-01-24,Cliente_0113,Vestido Estampado Midi,Moda Feminina,GG,Preto,Nordeste,App,Boleto,1,2,199.9,89.95,0.0,57.55,399.8,1,Q1,2024,Baixo Valor
49,2024-05-09,Cliente_0031,Blusa Crepe Feminina,Moda Feminina,P,Branco,Norte,E-commerce,Pix,1,1,79.9,35.96,0.19,99.51,79.9,5,Q2,2024,Baixo Valor
50,2024-11-01,Cliente_0026,Conjunto Lingerie Renda,Moda Íntima e Praia,GG,Azul,Sul,Loja Física,Cartão de Crédito,10,3,119.9,53.96,0.0,0.0,359.70000000000005,11,Q4,2024,Baixo Valor
51,2024-12-04,Cliente_0221,Calça Alfaiataria,Moda Feminina,GG,Azul,Centro-Oeste,Loja Física,Pix,1,2,159.9,71.95,0.12,0.0,319.8,12,Q4,2024,Baixo Valor
52,2024-04-29,Cliente_0212,Camiseta Básica Algodão,Moda Masculina,GG,Preto,Sul,E-commerce,Boleto,1,3,49.9,22.45,0.0,92.67,149.7,4,Q2,2024,Baixo Valor
53,2024-03-25,Cliente_0139,Camiseta Básica Algodão,Moda Masculina,GG,Azul,Centro-Oeste,Loja Física,Pix,1,1,49.9,22.45,0.0,0.0,49.9,3,Q1,2024,Baixo Valor
55,2024-10-26,Cliente_0074,Ténis Desportivo Run,Calçados,40,Preto,Centro-Oeste,App,Pix,1,1,349.9,157.45,0.0,75.49,349.9,10,Q4,2024,Baixo Valor
56,2024-08-20,Cliente_0093,Cinto de Couro,Acessórios,P,Nude,Norte,Loja Física,Cartão de Crédito,4,1,69.9,31.46,0.0,0.0,69.9,8,Q3,2024,Baixo Valor
57,2024-08-14,Cliente_0004,Sunga de Praia,Moda Íntima e Praia,GG,Preto,Norte,E-commerce,Cartão de Crédito,12,3,69.9,31.46,0.21,44.86,209.70000000000002,8,Q3,2024,Baixo Valor
58,2024-04-25,Cliente_0121,Conjunto Lingerie Renda,Moda Íntima e Praia,GG,Azul,Sul,App,Pix,1,1,119.9,53.96,0.0,86.78,119.9,4,Q2,2024,Baixo Valor
59,2024-03-15,Cliente_0073,Biquíni Cortininha,Moda Íntima e Praia,G,Vermelho,Nordeste,App,Boleto,1,3,139.9,62.96,0.0,85.64,419.70000000000005,3,Q1,2024,Baixo Valor
60,2024-12-03,Cliente_0060,Mochila Urbana,Acessórios,GG,Vermelho,Centro-Oeste,E-commerce,Cartão de Crédito,12,3,219.9,98.95,0.0,65.74,659.7,12,Q4,2024,Médio Valor
61,2024-08-30,Cliente_0085,Calça Jeans Casual,Moda Masculina,M,Vermelho,Sudeste,Loja Física,Cartão de Crédito,9,2,189.9,85.45,0.0,0.0,379.8,8,Q3,2024,Baixo Valor
63,2024-09-30,Cliente_0112,Sandália Salto Bloco,Calçados,36,Nude,Sudeste,E-commerce,Pix,1,3,149.9,67.45,0.21,79.74,449.70000000000005,9,Q3,2024,Baixo Valor
64,2024-03-26,Cliente_0203,Bermuda Sarja,Moda Masculina,G,Vermelho,Sul,Loja Física,Boleto,1,2,99.9,44.96,0.18,0.0,199.8,3,Q1,2024,Baixo Valor
65,2024-02-10,Cliente_0231,Blusa Crepe Feminina,Moda Feminina,M,Vermelho,Centro-Oeste,App,Pix,1,1,79.9,35.96,0.0,73.35,79.9,2,Q1,2024,Baixo Valor
67,2024-07-14,Cliente_0191,Bermuda Sarja,Moda Masculina,GG,Azul,Centro-Oeste,E-commerce,Boleto,1,1,99.9,44.96,0.27,92.85,99.9,7,Q3,2024,Baixo Valor
68,2024-11-06,Cliente_0113,Sapato Social Couro,Calçados,38,Preto,Sudeste,E-commerce,Boleto,1,1,289.9,130.45,0.0,44.71,289.9,11,Q4,2024,Baixo Valor
69,2024-03-08,Cliente_0212,Mochila Urbana,Acessórios,G,Nude,Centro-Oeste,E-commerce,Pix,1,2,219.9,98.95,0.0,40.56,439.8,3,Q1,2024,Baixo Valor
71,2024-12-10,Cliente_0057,Chinelo Slim Conforto,Calçados,42,Preto,Sudeste,App,Boleto,1,3,39.9,17.95,0.0,93.22,119.69999999999999,12,Q4,2024,Baixo Valor
72,2024-06-03,Cliente_0095,Biquíni Cortininha,Moda Íntima e Praia,P,Preto,Norte,E-commerce,Boleto,1,3,139.9,62.96,0.0,51.09,419.70000000000005,6,Q2,2024,Baixo Valor
73,2024-03-20,Cliente_0219,Conjunto Lingerie Renda,Moda Íntima e Praia,G,Preto,Nordeste,App,Cartão de Crédito,8,3,119.9,53.96,0.0,96.04,359.70000000000005,3,Q1,2024,Baixo Valor
74,2024-07-07,Cliente_0249,Bermuda Sarja,Moda Masculina,P,Vermelho,Sudeste,Loja Física,Boleto,1,3,99.9,44.96,0.1,0.0,299.70000000000005,7,Q3,2024,Baixo Valor
75,2024-05-04,Cliente_0038,Calça Jeans Casual,Moda Masculina,M,Branco,Sul,E-commerce,Cartão de Crédito,10,2,189.9,85.45,0.0,42.18,379.8,5,Q2,2024,Baixo Valor
76,2024-03-30,Cliente_0108,Cinto de Couro,Acessórios,G,Preto,Norte,Loja Física,Cartão de Crédito,3,2,69.9,31.46,0.0,0.0,139.8,3,Q1,2024,Baixo Valor
77,2024-02-02,Cliente_0123,Bermuda Sarja,Moda Masculina,P,Nude,Centro-Oeste,E-commerce,Boleto,1,3,99.9,44.96,0.0,24.87,299.70000000000005,2,Q1,2024,Baixo Valor
78,2024-02-25,Cliente_0141,Conjunto Lingerie Renda,Moda Íntima e Praia,P,Branco,Nordeste,Loja Física,Boleto,1,3,119.9,53.96,0.0,0.0,359.70000000000005,2,Q1,2024,Baixo Valor
79,2024-09-28,Cliente_0103,Kit Cuecas Boxer 3un,Moda Íntima e Praia,M,Vermelho,Centro-Oeste,App,Cartão de Crédito,7,3,79.9,35.96,0.0,86.19,239.70000000000002,9,Q3,2024,Baixo Valor
80,2024-08-06,Cliente_0143,Bermuda Sarja,Moda Masculina,P,Preto,Sudeste,App,Boleto,1,2,99.9,44.96,0.07,84.94,199.8,8,Q3,2024,Baixo Valor
81,2024-10-14,Cliente_0055,Mochila Urbana,Acessórios,P,Azul,Sul,E-commerce,Pix,1,3,219.9,98.95,0.0,66.23,659.7,10,Q4,2024,Médio Valor
82,2024-02-25,Cliente_0173,Sunga de Praia,Moda Íntima e Praia,GG,Nude,Norte,Loja Física,Boleto,1,1,69.9,31.46,0.0,0.0,69.9,2,Q1,2024,Baixo Valor
83,2024-12-02,Cliente_0103,Camisa Polo Masculina,Moda Masculina,G,Azul,Sudeste,Loja Física,Boleto,1,3,129.9,58.46,0.27,0.0,389.70000000000005,12,Q4,2024,Baixo Valor
84,2024-11-20,Cliente_0153,Vestido Estampado Midi,Moda Feminina,M,Azul,Sudeste,Loja Física,Pix,1,3,199.9,89.95,0.0,0.0,599.7,11,Q4,2024,Médio Valor
85,2024-03-21,Cliente_0029,Calça Jeans Casual,Moda Masculina,GG,Vermelho,Nordeste,E-commerce,Boleto,1,1,189.9,85.45,0.0,47.61,189.9,3,Q1,2024,Baixo Valor
87,2024-03-07,Cliente_0020,Conjunto Lingerie Renda,Moda Íntima e Praia,P,Vermelho,Nordeste,E-commerce,Cartão de Crédito,7,1,119.9,53.96,0.0,56.78,119.9,3,Q1,2024,Baixo Valor
88,2024-10-20,Cliente_0217,Mochila Urbana,Acessórios,M,Nude,Sudeste,App,Boleto,1,2,219.9,98.95,0.0,27.05,439.8,10,Q4,2024,Baixo Valor
89,2024-10-28,Cliente_0050,Saia Plissada,Moda Feminina,M,Preto,Nordeste,Loja Física,Cartão de Crédito,9,2,119.9,53.96,0.0,0.0,239.8,10,Q4,2024,Baixo Valor
90,2024-11-26,Cliente_0145,Chinelo Slim Conforto,Calçados,36,Branco,Norte,App,Boleto,1,3,39.9,17.95,0.0,57.12,119.69999999999999,11,Q4,2024,Baixo Valor
91,2024-10-16,Cliente_0152,Biquíni Cortininha,Moda Íntima e Praia,GG,Preto,Sudeste,App,Boleto,1,3,139.9,62.96,0.0,83.71,419.70000000000005,10,Q4,2024,Baixo Valor
92,2024-02-07,Cliente_0245,Chinelo Slim Conforto,Calçados,36,Nude,Sudeste,App,Pix,1,3,39.9,17.95,0.0,66.43,119.69999999999999,2,Q1,2024,Baixo Valor
93,2024-11-29,Cliente_0113,Biquíni Cortininha,Moda Íntima e Praia,G,Preto,Norte,E-commerce,Cartão de Crédito,1,3,139.9,62.96,0.0,76.61,419.70000000000005,11,Q4,2024,Baixo Valor
94,2024-03-22,Cliente_0186,Óculos de Sol Aviador,Acessórios,P,Azul,Norte,App,Boleto,1,3,179.9,80.95,0.07,42.73,539.7,3,Q1,2024,Médio Valor
95,2024-02-11,Cliente_0097,Vestido Estampado Midi,Moda Feminina,GG,Branco,Nordeste,Loja Física,Cartão de Crédito,5,2,199.9,89.95,0.0,0.0,399.8,2,Q1,2024,Baixo Valor
96,2024-12-25,Cliente_0055,Vestido Estampado Midi,Moda Feminina,GG,Nude,Nordeste,App,Pix,1,3,199.9,89.95,0.0,34.42,599.7,12,Q4,2024,Médio Valor
97,2024-04-25,Cliente_0040,Sunga de Praia,Moda Íntima e Praia,P,Azul,Sul,E-commerce,Boleto,1,1,69.9,31.46,0.0,67.78,69.9,4,Q2,2024,Baixo Valor
98,2024-11-15,Cliente_0062,Blusa Crepe Feminina,Moda Feminina,M,Vermelho,Nordeste,App,Boleto,1,3,79.9,35.96,0.0,38.72,239.70000000000002,11,Q4,2024,Baixo Valor
99,2024-07-07,Cliente_0014,Sunga de Praia,Moda Íntima e Praia,GG,Branco,Centro-Oeste,E-commerce,Boleto,1,1,69.9,31.46,0.0,89.84,69.9,7,Q3,2024,Baixo Valor
100,2024-02-22,Cliente_0107,Chinelo Slim Conforto,Calçados,42,Nude,Sudeste,App,Cartão de Crédito,8,3,39.9,17.95,0.16,94.44,119.69999999999999,2,Q1,2024,Baixo Valor
103,2024-02-26,Cliente_0107,Biquíni Cortininha,Moda Íntima e Praia,M,Azul,Sul,App,Boleto,1,1,139.9,62.96,0.0,39.25,139.9,2,Q1,2024,Baixo Valor
104,2024-07-03,Cliente_0092,Camiseta Básica Algodão,Moda Masculina,GG,Vermelho,Sudeste,App,Pix,1,3,49.9,22.45,0.15,79.79,149.7,7,Q3,2024,Baixo Valor
105,2024-12-02,Cliente_0123,Chinelo Slim Conforto,Calçados,44,Azul,Sul,App,Cartão de Crédito,11,1,39.9,17.95,0.0,98.47,39.9,12,Q4,2024,Baixo Valor
107,2024-01-25,Cliente_0128,Sapato Social Couro,Calçados,42,Vermelho,Nordeste,Loja Física,Cartão de Crédito,8,2,289.9,130.45,0.0,0.0,579.8,1,Q1,2024,Médio Valor
108,2024-02-12,Cliente_0110,Óculos de Sol Aviador,Acessórios,G,Preto,Sul,App,Pix,1,2,179.9,80.95,0.22,68.21,359.8,2,Q1,2024,Baixo Valor
110,2024-11-07,Cliente_0243,Camisa Polo Masculina,Moda Masculina,G,Vermelho,Nordeste,E-commerce,Cartão de Crédito,10,1,129.9,58.46,0.0,74.32,129.9,11,Q4,2024,Baixo Valor
111,2024-02-09,Cliente_0100,Chinelo Slim Conforto,Calçados,36,Preto,Norte,Loja Física,Pix,1,2,39.9,17.95,0.0,0.0,79.8,2,Q1,2024,Baixo Valor
112,2024-05-13,Cliente_0208,Bermuda Sarja,Moda Masculina,M,Preto,Nordeste,App,Cartão de Crédito,12,2,99.9,44.96,0.07,99.78,199.8,5,Q2,2024,Baixo Valor
113,2024-02-03,Cliente_0127,Chinelo Slim Conforto,Calçados,38,Azul,Sudeste,E-commerce,Cartão de Crédito,4,3,39.9,17.95,0.0,38.94,119.69999999999999,2,Q1,2024,Baixo Valor
114,2024-10-20,Cliente_0197,Chinelo Slim Conforto,Calçados,40,Vermelho,Centro-Oeste,App,Boleto,1,3,39.9,17.95,0.0,62.06,119.69999999999999,10,Q4,2024,Baixo Valor
115,2024-03-05,Cliente_0040,Mochila Urbana,Acessórios,M,Branco,Nordeste,Loja Física,Cartão de Crédito,2,1,219.9,98.95,0.0,0.0,219.9,3,Q1,2024,Baixo Valor
116,2024-06-14,Cliente_0078,Blusa Crepe Feminina,Moda Feminina,P,Azul,Norte,App,Boleto,1,1,79.9,35.96,0.0,30.01,79.9,6,Q2,2024,Baixo Valor
117,2024-09-14,Cliente_0198,Cinto de Couro,Acessórios,G,Nude,Norte,Loja Física,Cartão de Crédito,1,1,69.9,31.46,0.27,0.0,69.9,9,Q3,2024,Baixo Valor
119,2024-07-31,Cliente_0120,Blusa Crepe Feminina,Moda Feminina,G,Vermelho,Sudeste,E-commerce,Boleto,1,2,79.9,35.96,0.14,45.53,159.8,7,Q3,2024,Baixo Valor
120,2024-05-06,Cliente_0041,Ténis Desportivo Run,Calçados,38,Azul,Centro-Oeste,App,Boleto,1,2,349.9,157.45,0.0,35.19,699.8,5,Q2,2024,Médio Valor
121,2024-09-12,Cliente_0226,Óculos de Sol Aviador,Acessórios,M,Branco,Centro-Oeste,App,Cartão de Crédito,1,2,179.9,80.95,0.0,59.59,359.8,9,Q3,2024,Baixo Valor
123,2024-02-07,Cliente_0087,Cinto de Couro,Acessórios,P,Branco,Norte,App,Pix,1,2,69.9,31.46,0.0,83.59,139.8,2,Q1,2024,Baixo Valor
124,2024-04-11,Cliente_0036,Chinelo Slim Conforto,Calçados,42,Nude,Nordeste,Loja Física,Boleto,1,1,39.9,17.95,0.0,0.0,39.9,4,Q2,2024,Baixo Valor
125,2024-03-24,Cliente_0107,Boné Ajustável Aba Curva,Acessórios,GG,Nude,Norte,App,Cartão de Crédito,6,2,59.9,26.95,0.0,73.9,119.8,3,Q1,2024,Baixo Valor
127,2024-12-14,Cliente_0199,Kit Cuecas Boxer 3un,Moda Íntima e Praia,GG,Branco,Norte,Loja Física,Cartão de Crédito,7,1,79.9,35.96,0.0,0.0,79.9,12,Q4,2024,Baixo Valor
128,2024-02-01,Cliente_0088,Sunga de Praia,Moda Íntima e Praia,GG,Azul,Norte,Loja Física,Pix,1,3,69.9,31.46,0.0,0.0,209.70000000000002,2,Q1,2024,Baixo Valor
129,2024-12-14,Cliente_0177,Chinelo Slim Conforto,Calçados,44,Azul,Centro-Oeste,App,Pix,1,3,39.9,17.95,0.0,76.39,119.69999999999999,12,Q4,2024,Baixo Valor
130,2024-06-27,Cliente_0206,Sandália Salto Bloco,Calçados,44,Vermelho,Sul,App,Pix,1,2,149.9,67.45,0.0,96.37,299.8,6,Q2,2024,Baixo Valor
131,2024-05-27,Cliente_0179,Sapato Social Couro,Calçados,38,Branco,Nordeste,Loja Física,Pix,1,1,289.9,130.45,0.0,0.0,289.9,5,Q2,2024,Baixo Valor
132,2024-11-11,Cliente_0036,Vestido Estampado Midi,Moda Feminina,M,Preto,Sudeste,E-commerce,Pix,1,1,199.9,89.95,0.13,74.5,199.9,11,Q4,2024,Baixo Valor
133,2024-07-27,Cliente_0147,Cinto de Couro,Acessórios,G,Azul,Sul,Loja Física,Cartão de Crédito,2,1,69.9,31.46,0.0,0.0,69.9,7,Q3,2024,Baixo Valor
134,2024-01-20,Cliente_0003,Cinto de Couro,Acessórios,GG,Vermelho,Nordeste,App,Boleto,1,3,69.9,31.46,0.0,90.14,209.70000000000002,1,Q1,2024,Baixo Valor
135,2024-02-24,Cliente_0118,Mochila Urbana,Acessórios,M,Nude,Nordeste,App,Cartão de Crédito,2,3,219.9,98.95,0.0,33.0,659.7,2,Q1,2024,Médio Valor
136,2024-06-21,Cliente_0025,Blusa Crepe Feminina,Moda Feminina,GG,Vermelho,Sul,Loja Física,Cartão de Crédito,7,1,79.9,35.96,0.0,0.0,79.9,6,Q2,2024,Baixo Valor
138,2024-03-01,Cliente_0057,Calça Jeans Casual,Moda Masculina,G,Preto,Sul,App,Pix,1,3,189.9,85.45,0.0,69.17,569.7,3,Q1,2024,Médio Valor
139,2024-08-20,Cliente_0136,Sunga de Praia,Moda Íntima e Praia,M,Branco,Nordeste,E-commerce,Boleto,1,1,69.9,31.46,0.0,62.04,69.9,8,Q3,2024,Baixo Valor
140,2024-02-27,Cliente_0126,Camiseta Básica Algodão,Moda Masculina,G,Nude,Sudeste,E-commerce,Boleto,1,3,49.9,22.45,0.0,77.35,149.7,2,Q1,2024,Baixo Valor
141,2024-01-29,Cliente_0012,Óculos de Sol Aviador,Acessórios,G,Preto,Centro-Oeste,E-commerce,Cartão de Crédito,12,2,179.9,80.95,0.0,66.26,359.8,1,Q1,2024,Baixo Valor
142,2024-02-02,Cliente_0166,Chinelo Slim Conforto,Calçados,40,Vermelho,Centro-Oeste,Loja Física,Cartão de Crédito,11,3,39.9,17.95,0.0,0.0,119.69999999999999,2,Q1,2024,Baixo Valor
143,2024-08-17,Cliente_0138,Chinelo Slim Conforto,Calçados,44,Branco,Centro-Oeste,E-commerce,Pix,1,2,39.9,17.95,0.0,34.28,79.8,8,Q3,2024,Baixo Valor
144,2024-04-24,Cliente_0071,Óculos de Sol Aviador,Acessórios,GG,Nude,Sul,App,Cartão de Crédito,4,1,179.9,80.95,0.0,47.69,179.9,4,Q2,2024,Baixo Valor
146,2024-10-03,Cliente_0225,Biquíni Cortininha,Moda Íntima e Praia,G,Nude,Sul,App,Boleto,1,1,139.9,62.96,0.0,38.95,139.9,10,Q4,2024,Baixo Valor
147,2024-07-30,Cliente_0172,Óculos de Sol Aviador,Acessórios,GG,Nude,Centro-Oeste,Loja Física,Pix,1,1,179.9,80.95,0.0,0.0,179.9,7,Q3,2024,Baixo Valor
148,2024-12-22,Cliente_0248,Óculos de Sol Aviador,Acessórios,M,Azul,Centro-Oeste,E-commerce,Cartão de Crédito,8,2,179.9,80.95,0.0,64.99,359.8,12,Q4,2024,Baixo Valor
149,2024-03-09,Cliente_0155,Cinto de Couro,Acessórios,G,Preto,Norte,App,Cartão de Crédito,1,3,69.9,31.46,0.0,50.17,209.70000000000002,3,Q1,2024,Baixo Valor
150,2024-04-06,Cliente_0031,Calça Jeans Casual,Moda Masculina,G,Azul,Centro-Oeste,E-commerce,Cartão de Crédito,4,1,189.9,85.45,0.0,96.97,189.9,4,Q2,2024,Baixo Valor
151,2024-11-05,Cliente_0226,Saia Plissada,Moda Feminina,GG,Nude,Centro-Oeste,App,Pix,1,3,119.9,53.96,0.0,48.77,359.70000000000005,11,Q4,2024,Baixo Valor
152,2024-08-28,Cliente_0185,Biquíni Cortininha,Moda Íntima e Praia,M,Branco,Centro-Oeste,Loja Física,Boleto,1,1,139.9,62.96,0.19,0.0,139.9,8,Q3,2024,Baixo Valor
153,2024-04-10,Cliente_0165,Sapato Social Couro,Calçados,40,Azul,Centro-Oeste,Loja Física,Pix,1,1,289.9,130.45,0.0,0.0,289.9,4,Q2,2024,Baixo Valor
154,2024-06-29,Cliente_0106,Biquíni Cortininha,Moda Íntima e Praia,P,Nude,Sul,E-commerce,Boleto,1,1,139.9,62.96,0.26,81.15,139.9,6,Q2,2024,Baixo Valor
